case_id,independent_reviewer,reviewed_at_utc,answer_assessment,evidence_assessment,failure_assessment,gold_change_proposed,disposition,notes
gsm-abstain-01,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced source-specific abstention correct; rag-anything generic abstention acceptable at answer level,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,RAG-Anything does not establish source-specific absence
gsm-abstain-02,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced source-specific abstention correct; rag-anything generic abstention acceptable at answer level,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,RAG-Anything does not establish source-specific absence
gsm-abstain-03,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced source-specific abstention correct; rag-anything generic abstention acceptable at answer level,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,RAG-Anything does not establish source-specific absence
gsm-abstain-04,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced source-specific abstention correct; rag-anything generic abstention acceptable at answer level,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,RAG-Anything does not establish source-specific absence
gsm-id-01,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,exact owner value independently confirmed
gsm-id-02,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,exact owner value independently confirmed
gsm-id-03,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,exact owner value independently confirmed
gsm-id-04,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced required source present in final context; rag-anything evidence unavailable,legacy/enhanced retrieval-missing label retained but final context supports answer; rag-anything needs-review retained,none,reviewed-no-gold-change,exact owner value independently confirmed
gsm-multi-01,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced both required values present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,both required answer components independently confirmed
gsm-multi-02,codex-independent-reviewer,2026-08-24T14:07:57Z,legacy/enhanced correct; rag-anything incorrect no-context refusal,legacy/enhanced both required values present in final context; rag-anything evidence unavailable,legacy/enhanced deterministic labels conflict with reviewed answer; rag-anything needs-review retained,none,reviewed-no-gold-change,both required answer components independently confirmed
