case_id,author_reviewed_at_utc,legacy_platform,legacy_author_reconciliation,enhanced_platform,enhanced_author_reconciliation,rag_anything_platform,rag_anything_author_reconciliation,gold_change_proposed,independent_review_status
gsm-abstain-01,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;needs_review,generic_abstention;independent_judgement_required,none,pending
gsm-abstain-02,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;needs_review,generic_abstention;independent_judgement_required,none,pending
gsm-abstain-03,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;needs_review,generic_abstention;independent_judgement_required,none,pending
gsm-abstain-04,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct_abstention;platform_scorer_mismatch,observed=0;needs_review,generic_abstention;independent_judgement_required,none,pending
gsm-id-01,2026-08-24T13:06:08Z,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-id-02,2026-08-24T13:06:08Z,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-id-03,2026-08-24T13:06:08Z,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-id-04,2026-08-24T13:06:08Z,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-multi-01,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-multi-02,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-multi-03,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-multi-04,2026-08-24T13:06:08Z,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;generation_failure+unsupported_answer,semantic_correct;platform_scorer_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-numeric-01,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_unit;manual_confirmation,needs_review,semantic_correct_with_unit;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-numeric-02,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_unit;manual_confirmation,needs_review,semantic_correct_with_unit;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-numeric-03,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_unit;manual_confirmation,needs_review,semantic_correct_with_unit;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-numeric-04,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_unit;manual_confirmation,needs_review,semantic_correct_with_unit;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-plain-01,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_source_trace;manual_confirmation,needs_review,semantic_correct_with_source_trace;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-plain-02,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_source_trace;manual_confirmation,needs_review,semantic_correct_with_source_trace;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-plain-03,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_source_trace;manual_confirmation,needs_review,semantic_correct_with_source_trace;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-plain-04,2026-08-24T13:06:08Z,needs_review,semantic_correct_with_source_trace;manual_confirmation,needs_review,semantic_correct_with_source_trace;manual_confirmation,observed=0;needs_review,incorrect_no_context,none,pending
gsm-table-01,2026-08-24T13:06:08Z,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-table-02,2026-08-24T13:06:08Z,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
gsm-table-03,2026-08-24T13:06:08Z,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,needs_review;retrieval_missing,semantic_correct_with_source_trace;platform_failure_label_mismatch,observed=0;needs_review,incorrect_no_context,none,pending
